College Name,Course,Department,Annual Fees (INR),Duration,Seats,Cutoff Score,Eligibility,Admission Deadline
Hindustan Institute of Technology and Science (HITS),B.Tech Aeronautical Engineering,Aeronautical Engineering,400000,4 years,,PCM 70-85%: 365000 | PCM 85.5%+: 340000,10+2 with Maths and Physics,2026-27
Hindustan Institute of Technology and Science (HITS),B.Tech Aerospace Engineering,Aerospace Engineering,400000,4 years,,PCM 70-85%: 365000 | PCM 85.5%+: 340000,10+2 with Maths and Physics,2026-27
Hindustan Institute of Technology and Science (HITS),B.Tech Computer Science Engineering,CSE,292000,4 years,,PCM 70-85%: 260000 | PCM 85.5%+: 237000,10+2 with Maths and Physics,2026-27
Hindustan Institute of Technology and Science (HITS),B.Tech AI & Data Science,CSE,292000,4 years,,PCM 70-85%: 260000 | PCM 85.5%+: 237000,10+2 with Maths and Physics,2026-27
Hindustan Institute of Technology and Science (HITS),B.Tech Information Technology,CSE,292000,4 years,,PCM 70-85%: 260000 | PCM 85.5%+: 237000,10+2 with Maths and Physics,2026-27
Hindustan Institute of Technology and Science (HITS),B.Tech CSE (AI & ML) with IBM,CSE,346000,4 years,,PCM 70-85%: 313000 | PCM 85.5%+: 290000,10+2 with Maths and Physics,2026-27
Hindustan Institute of Technology and Science (HITS),B.Tech CSE (Cyber Security) with IBM,CSE,346000,4 years,,PCM 70-85%: 313000 | PCM 85.5%+: 290000,10+2 with Maths and Physics,2026-27
Hindustan Institute of Technology and Science (HITS),B.Tech CSE IoT/Blockchain/CCV with IBM,CSE,346000,4 years,,PCM 70-85%: 313000 | PCM 85.5%+: 290000,10+2 with Maths and Physics,2026-27
Hindustan Institute of Technology and Science (HITS),B.Tech CSE (Gen AI) with Google,CSE,320000,4 years,,PCM 70-85%: 290000 | PCM 85.5%+: 271000,10+2 with Maths and Physics,2026-27
Hindustan Institute of Technology and Science (HITS),B.Tech CSE (Cloud Security) with Google,CSE,320000,4 years,,PCM 70-85%: 290000 | PCM 85.5%+: 271000,10+2 with Maths and Physics,2026-27
Hindustan Institute of Technology and Science (HITS),B.Tech CSE (Full Stack Development) with Collegedekho,CSE,360000,4 years,,PCM 70-85%: 325000 | PCM 85.5%+: 300000,10+2 with Maths and Physics,2026-27
Hindustan Institute of Technology and Science (HITS),B.Tech Auto-Electric Mobility (GARC),Automobile Engineering,305500,4 years,,,10+2 with Maths and Physics,2026-27
Hindustan Institute of Technology and Science (HITS),B.Tech Automobile Engineering,Automobile Engineering,191500,4 years,,,10+2 with Maths and Physics,2026-27
Hindustan Institute of Technology and Science (HITS),B.Tech Civil Engineering,Civil Engineering,191500,4 years,,,10+2 with Maths and Physics,2026-27
Hindustan Institute of Technology and Science (HITS),B.Tech Bio-Technology & Specialization,Biotechnology,191500,4 years,,,10+2 with Maths and Physics/Biology,2026-27
Hindustan Institute of Technology and Science (HITS),B.Tech EEE (AI / EV Tech / Batteries & Energy Storage),Electrical Engineering,191500,4 years,,,10+2 with Maths and Physics,2026-27
Hindustan Institute of Technology and Science (HITS),B.Tech ECE (EMT / Data Science / Semiconductor Tech),Electronics Engineering,191500,4 years,,,10+2 with Maths and Physics,2026-27
Hindustan Institute of Technology and Science (HITS),B.Tech Mechanical Engineering,Mechanical Engineering,191500,4 years,,,10+2 with Maths and Physics,2026-27
Hindustan Institute of Technology and Science (HITS),B.Tech Mechatronics Engineering,Mechanical Engineering,191500,4 years,,,10+2 with Maths and Physics,2026-27
Hindustan Institute of Technology and Science (HITS),B.Tech Biomedical Engineering,Biomedical Engineering,191500,4 years,,,10+2 with Maths and Physics/Biology,2026-27
Hindustan Institute of Technology and Science (HITS),B.Tech Robotics & Artificial Intelligence,CSE,191500,4 years,,,10+2 with Maths and Physics,2026-27
Hindustan Institute of Technology and Science (HITS),B.Arch,Architecture,191500,5 years,,,10+2 with Maths,2026-27
Hindustan Institute of Technology and Science (HITS),B.Des Fashion & Apparel Design,Design,171500,4 years,,,10+2 any stream,2026-27
Hindustan Institute of Technology and Science (HITS),B.Des Communication Design,Design,171500,4 years,,,10+2 any stream,2026-27
Hindustan Institute of Technology and Science (HITS),B.Des Graphic Design with Collegedekho,Design,250000,4 years,,,10+2 any stream,2026-27
Hindustan Institute of Technology and Science (HITS),B.Com & Specialization (Batch-I),Commerce,93450,3 years,,,10+2 any stream,2026-27
Hindustan Institute of Technology and Science (HITS),B.Com General (Batch-II),Commerce,81900,3 years,,,10+2 any stream,2026-27
Hindustan Institute of Technology and Science (HITS),BA English,Arts,78750,3 years,,,10+2 any stream,2026-27
Hindustan Institute of Technology and Science (HITS),BA Economics,Arts,78750,3 years,,,10+2 any stream,2026-27
Hindustan Institute of Technology and Science (HITS),BA Political & International Relations,Arts,75000,3 years,,,10+2 any stream,2026-27
Hindustan Institute of Technology and Science (HITS),BA (Law Eco Political Science),Arts,78750,3 years,,,10+2 any stream,2026-27
Hindustan Institute of Technology and Science (HITS),B.Sc Interior Design,Design,78750,3 years,,,10+2 any stream,2026-27
Hindustan Institute of Technology and Science (HITS),B.Sc Fashion Design,Design,87150,3 years,,,10+2 any stream,2026-27
Hindustan Institute of Technology and Science (HITS),B.Sc Visual Communication,Media,97650,3 years,,,10+2 any stream,2026-27
Hindustan Institute of Technology and Science (HITS),BVA & Specialization,Arts,105000,3 years,,,10+2 any stream,2026-27
Hindustan Institute of Technology and Science (HITS),BCA (Batch-I),Computer Applications,110000,3 years,,,10+2 any stream,2026-27
Hindustan Institute of Technology and Science (HITS),BCA (Batch-II),Computer Applications,95000,3 years,,,10+2 any stream,2026-27
Hindustan Institute of Technology and Science (HITS),BCA (CS) Batch-I,Computer Applications,120000,3 years,,,10+2 any stream,2026-27
Hindustan Institute of Technology and Science (HITS),BCA (CS) Batch-II,Computer Applications,105000,3 years,,,10+2 any stream,2026-27
Hindustan Institute of Technology and Science (HITS),B.Sc Computer Science,Computer Science,95000,3 years,,,10+2 any stream,2026-27
Hindustan Institute of Technology and Science (HITS),B.Sc CS (Gaming Design),Computer Science,95000,3 years,,,10+2 any stream,2026-27
Hindustan Institute of Technology and Science (HITS),B.Sc AI & Data Analytics,Computer Science,95000,3 years,,,10+2 any stream,2026-27
Hindustan Institute of Technology and Science (HITS),B.Sc Data Science,Computer Science,113000,3 years,,,10+2 any stream,2026-27
Hindustan Institute of Technology and Science (HITS),B.Sc UAS,Science,75000,3 years,,,10+2 any stream,2026-27
Hindustan Institute of Technology and Science (HITS),B.Sc Food Technology,Science,78750,3 years,,,10+2 with Science,2026-27
Hindustan Institute of Technology and Science (HITS),B.Sc Maths & Data Science,Science,78750,3 years,,,10+2 with Maths,2026-27
Hindustan Institute of Technology and Science (HITS),B.Sc Psychology,Science,78750,3 years,,,10+2 any stream,2026-27
Hindustan Institute of Technology and Science (HITS),M.Sc Maths Integrated,Science,78750,5 years,,,10+2 with Maths,2026-27
Hindustan Institute of Technology and Science (HITS),B.Sc Physical Education,Science,75000,3 years,,,10+2 any stream,2026-27
Hindustan Institute of Technology and Science (HITS),B.Sc Chemistry,Science,75000,3 years,,,10+2 with Science,2026-27
Hindustan Institute of Technology and Science (HITS),BBA,Management,145000,3 years,,,10+2 any stream,2026-27
Hindustan Institute of Technology and Science (HITS),BBA Aviation Management,Management,170000,3 years,,,10+2 any stream,2026-27
Hindustan Institute of Technology and Science (HITS),BBA Digital Marketing,Management,145000,3 years,,,10+2 any stream,2026-27
Hindustan Institute of Technology and Science (HITS),BBA Banking & Financial Technology,Management,145000,3 years,,,10+2 any stream,2026-27
Hindustan Institute of Technology and Science (HITS),BBA Logistics,Management,145000,3 years,,,10+2 any stream,2026-27
Hindustan Institute of Technology and Science (HITS),BBA Retail & Franchise Management,Management,145000,3 years,,,10+2 any stream,2026-27
Hindustan Institute of Technology and Science (HITS),BBA Hospital Management (IRED),Management,145000,3 years,,,10+2 any stream,2026-27
Hindustan Institute of Technology and Science (HITS),MBA Aviation Management,Management,367500,2 years,,,Any UG Degree,2026-27
Hindustan Institute of Technology and Science (HITS),MBA Business Analytics,Management,367500,2 years,,,Any UG Degree,2026-27
Hindustan Institute of Technology and Science (HITS),MBA Finance / Marketing / HR,Management,325500,2 years,,,Any UG Degree,2026-27
Hindustan Institute of Technology and Science (HITS),MBA Logistics & Supply Chain,Management,325500,2 years,,,Any UG Degree,2026-27
Hindustan Institute of Technology and Science (HITS),MBA Hotel Management,Management,325500,2 years,,,Any UG Degree,2026-27
Hindustan Institute of Technology and Science (HITS),MBA Media & Entertainment,Management,325500,2 years,,,Any UG Degree,2026-27
Hindustan Institute of Technology and Science (HITS),MBA Hotel & Tourism Management,Management,325500,2 years,,,Any UG Degree,2026-27
Hindustan Institute of Technology and Science (HITS),MBA Sports Management,Management,325500,2 years,,,Any UG Degree,2026-27
Hindustan Institute of Technology and Science (HITS),MBA Retail & Franchise Management,Management,310000,2 years,,,Any UG Degree,2026-27
Hindustan Institute of Technology and Science (HITS),MBA Entrepreneurship,Management,310000,2 years,,,Any UG Degree,2026-27
Hindustan Institute of Technology and Science (HITS),Executive MBA,Management,600000,2 years,,,Any UG Degree with Work Experience,2026-27
Hindustan Institute of Technology and Science (HITS),BA LLB (Hons),Law,234150,5 years,,,10+2 any stream,2026-27
Hindustan Institute of Technology and Science (HITS),BBA LLB (Hons),Law,234150,5 years,,,10+2 any stream,2026-27
Hindustan Institute of Technology and Science (HITS),LLB,Law,234150,3 years,,,Any UG Degree,2026-27
Hindustan Institute of Technology and Science (HITS),LLM & Specialization,Law,129150,2 years,,,LLB Degree,2026-27
Hindustan Institute of Technology and Science (HITS),B.Sc Digital Forensics & Cyber Security,Law / Science,99750,3 years,,,10+2 any stream,2026-27
Hindustan Institute of Technology and Science (HITS),B.Sc Criminology & Police Administration,Law / Science,94500,3 years,,,10+2 any stream,2026-27
Hindustan Institute of Technology and Science (HITS),B.Sc Forensic Science,Law / Science,99750,3 years,,,10+2 with Science,2026-27
Hindustan Institute of Technology and Science (HITS),B.Optometry,Health Sciences,97650,4 years,,,10+2 with Science,2026-27
Hindustan Institute of Technology and Science (HITS),BPT (Physiotherapy),Health Sciences,139650,4.5 years,,,10+2 with Science,2026-27
Hindustan Institute of Technology and Science (HITS),B.Pharmacy,Pharmacy,160650,4 years,,,10+2 with Physics Chemistry Biology/Maths,2026-27
Hindustan Institute of Technology and Science (HITS),B.Sc Nursing,Nursing,225000,4 years,,,10+2 with Physics Chemistry Biology,2026-27
Hindustan Institute of Technology and Science (HITS),M.Tech Aeronautical,Engineering PG,108000,2 years,,,B.Tech / BE in relevant field,2026-27
Hindustan Institute of Technology and Science (HITS),M.Tech Design Technology,Engineering PG,108000,2 years,,,B.Tech / BE in relevant field,2026-27
Hindustan Institute of Technology and Science (HITS),M.Tech CSE,Engineering PG,108000,2 years,,,B.Tech / BE in CSE/IT,2026-27
Hindustan Institute of Technology and Science (HITS),M.Tech Automobile,Engineering PG,92400,2 years,,,B.Tech / BE in relevant field,2026-27
Hindustan Institute of Technology and Science (HITS),M.Tech Auto (GARC),Engineering PG,107835,2 years,,,B.Tech / BE in relevant field,2026-27
Hindustan Institute of Technology and Science (HITS),M.Tech Robotics & Mechatronics,Engineering PG,92400,2 years,,,B.Tech / BE in relevant field,2026-27
Hindustan Institute of Technology and Science (HITS),M.Tech Civil,Engineering PG,92400,2 years,,,B.Tech / BE in Civil,2026-27
Hindustan Institute of Technology and Science (HITS),M.Tech Bio-Technology,Engineering PG,92400,2 years,,,B.Tech / BE in Biotech/related,2026-27
Hindustan Institute of Technology and Science (HITS),M.Arch (Housing),Architecture PG,75000,2 years,,,B.Arch,2026-27
Hindustan Institute of Technology and Science (HITS),M.Plan Urban,Architecture PG,75000,2 years,,,B.Arch / B.Planning,2026-27
Hindustan Institute of Technology and Science (HITS),MCA & Specialization,Computer Applications PG,195000,2 years,,,BCA / B.Sc CS / Any UG with Maths,2026-27
Hindustan Institute of Technology and Science (HITS),M.Sc Food Technology,Science PG,78750,2 years,,,B.Sc Food Tech / related,2026-27
Hindustan Institute of Technology and Science (HITS),M.Sc Data Science,Science PG,76650,2 years,,,Any UG with Maths/Statistics,2026-27
Hindustan Institute of Technology and Science (HITS),M.Sc AI & Data Analytics,Science PG,76650,2 years,,,Any UG with relevant background,2026-27
Hindustan Institute of Technology and Science (HITS),M.Sc Applied Psychology,Science PG,75000,2 years,,,BA/B.Sc Psychology,2026-27
Hindustan Institute of Technology and Science (HITS),M.Sc Sport Management,Science PG,75000,2 years,,,Any UG Degree,2026-27
Hindustan Institute of Technology and Science (HITS),M.Com & Specialization,Commerce PG,75000,2 years,,,B.Com / BBA,2026-27
Hindustan Institute of Technology and Science (HITS),MPT,Health Sciences PG,150000,2 years,,,BPT,2026-27
Hindustan Institute of Technology and Science (HITS),MSW,Social Work PG,75000,2 years,,,Any UG Degree,2026-27
Hindustan Institute of Technology and Science (HITS),M.Sc Nano Science,Science PG,76650,2 years,,,B.Sc Science,2026-27
Hindustan Institute of Technology and Science (HITS),M.Sc Chemistry,Science PG,75000,2 years,,,B.Sc Chemistry,2026-27
Hindustan Institute of Technology and Science (HITS),MA Christian Studies,Arts PG,75000,2 years,,,Any UG Degree,2026-27
Hindustan Institute of Technology and Science (HITS),M.Sc User Experience Design,Design PG,125000,2 years,,,Any UG Degree,2026-27
Hindustan Institute of Technology and Science (HITS),MA Public Administration,Arts PG,75000,2 years,,,Any UG Degree,2026-27
Hindustan Institute of Technology and Science (HITS),M.Sc Visual Communication,Media PG,92000,2 years,,,B.Sc Visual Communication / related,2026-27
Hindustan Institute of Technology and Science (HITS),Master of Hospital Administration (MHA),Health Management PG,75000,2 years,,,Any UG Degree,2026-27
Hindustan Institute of Technology and Science (HITS),M.Sc Physician Associate (IRED),Health Sciences PG,100000,2 years,,,Any UG in Health Sciences,2026-27
Hindustan Institute of Technology and Science (HITS),M.Sc Clinical Nutrition (IRED),Health Sciences PG,100000,2 years,,,Any UG in Health Sciences,2026-27
Aarupadai Veedu Institute of Technology (AVIT),B.E CSE,CSE,180000,4 years,,,10+2 with Maths and Physics,2026-27
Aarupadai Veedu Institute of Technology (AVIT),B.E CSE Cyber Security,CSE,180000,4 years,,,10+2 with Maths and Physics,2026-27
Aarupadai Veedu Institute of Technology (AVIT),B.E CSE AI & ML,CSE,180000,4 years,,,10+2 with Maths and Physics,2026-27
Aarupadai Veedu Institute of Technology (AVIT),B.E CSE Data Science,CSE,180000,4 years,,,10+2 with Maths and Physics,2026-27
Aarupadai Veedu Institute of Technology (AVIT),B.E ECE,Electronics Engineering,180000,4 years,,,10+2 with Maths and Physics,2026-27
Aarupadai Veedu Institute of Technology (AVIT),B.E Bio-Medical Engineering,Biomedical Engineering,80000,4 years,,,10+2 with Science,2026-27
Aarupadai Veedu Institute of Technology (AVIT),B.E Civil Engineering,Civil Engineering,80000,4 years,,,10+2 with Maths and Physics,2026-27
Aarupadai Veedu Institute of Technology (AVIT),B.E EEE,Electrical Engineering,80000,4 years,,,10+2 with Maths and Physics,2026-27
Aarupadai Veedu Institute of Technology (AVIT),B.E Mechanical Engineering,Mechanical Engineering,80000,4 years,,,10+2 with Maths and Physics,2026-27
Aarupadai Veedu Institute of Technology (AVIT),B.E Bio-Technology,Biotechnology,105000,4 years,,,10+2 with Science,2026-27
Bharath Institute of Higher Education and Research (BIHER),B.Tech CSE,CSE,225000,4 years,,PCM 90%+: 125000 | PCM 70-89.9%: 150000 | PCM 60-69.9%: 175000 | PCM 50-59.9%: 200000 | Below 50%: 225000 (TN slab),10+2 with Maths and Physics (Min 50%),2026-27
Bharath Institute of Higher Education and Research (BIHER),B.Tech CSE with AI,CSE,250000,4 years,,PCM based slab applicable,10+2 with Maths and Physics (Min 50%),2026-27
Bharath Institute of Higher Education and Research (BIHER),B.Tech CSE with AI & ML,CSE,250000,4 years,,PCM based slab applicable,10+2 with Maths and Physics (Min 50%),2026-27
Bharath Institute of Higher Education and Research (BIHER),B.Tech CSE with Cyber Security,CSE,250000,4 years,,PCM based slab applicable,10+2 with Maths and Physics (Min 50%),2026-27
Bharath Institute of Higher Education and Research (BIHER),B.Tech CSE with Data Science,CSE,250000,4 years,,PCM based slab applicable,10+2 with Maths and Physics (Min 50%),2026-27
Bharath Institute of Higher Education and Research (BIHER),B.Tech CSE with IoT (Blockchain),CSE,250000,4 years,,PCM based slab applicable,10+2 with Maths and Physics (Min 50%),2026-27
Bharath Institute of Higher Education and Research (BIHER),B.Tech CSE with AI & ML (IOA UK),CSE,250000,4 years,,PCM based slab applicable,10+2 with Maths and Physics (Min 50%),2026-27
Bharath Institute of Higher Education and Research (BIHER),B.Tech CSE with AI & DS,CSE,250000,4 years,,PCM based slab applicable,10+2 with Maths and Physics (Min 50%),2026-27
Bharath Institute of Higher Education and Research (BIHER),B.Tech Information Technology,IT,100000,4 years,,,10+2 with Maths and Physics (Min 50%),2026-27
Bharath Institute of Higher Education and Research (BIHER),B.Tech Electronics & Communication Engineering,ECE,125000,4 years,,,10+2 with Maths and Physics (Min 50%),2026-27
Bharath Institute of Higher Education and Research (BIHER),B.Tech Mechatronics Engineering,Mechanical Engineering,75000,4 years,,,10+2 with Maths and Physics (Min 50%),2026-27
Bharath Institute of Higher Education and Research (BIHER),B.Tech Electrical & Electronics Engineering,Electrical Engineering,75000,4 years,,,10+2 with Maths and Physics (Min 50%),2026-27
Bharath Institute of Higher Education and Research (BIHER),B.Tech Civil Engineering,Civil Engineering,75000,4 years,,,10+2 with Maths and Physics (Min 50%),2026-27
Bharath Institute of Higher Education and Research (BIHER),B.Tech Automobile Engineering,Automobile Engineering,75000,4 years,,,10+2 with Maths and Physics (Min 50%),2026-27
Bharath Institute of Higher Education and Research (BIHER),B.Arch,Architecture,125000,5 years,,,10+2 with Maths,2026-27
Bharath Institute of Higher Education and Research (BIHER),B.Tech Industrial Biotechnology,Biotechnology,100000,4 years,,,10+2 with Science (Min 50%),2026-27
Bharath Institute of Higher Education and Research (BIHER),B.Tech Biotechnology (Agricultural Biotechnology),Biotechnology,100000,4 years,,,10+2 with Science (Min 50%),2026-27
Bharath Institute of Higher Education and Research (BIHER),B.Tech Biomedical Engineering,Biomedical Engineering,100000,4 years,,,10+2 with Science (Min 50%),2026-27
Bharath Institute of Higher Education and Research (BIHER),B.Tech Biotechnology (Genetic Engineering),Biotechnology,100000,4 years,,,10+2 with Science (Min 50%),2026-27
Bharath Institute of Higher Education and Research (BIHER),B.Tech Mechanical Engineering,Mechanical Engineering,100000,4 years,,,10+2 with Maths and Physics (Min 50%),2026-27
Bharath Institute of Higher Education and Research (BIHER),B.Tech Aeronautical Engineering,Aeronautical Engineering,100000,4 years,,,10+2 with Maths and Physics (Min 50%),2026-27
