College Name,Course,Department,Annual Fees (INR),Duration,Seats,Cutoff Score,Eligibility,Admission Deadline
Chettinad Institute of Technology,Integrated M.Tech CSE (5 Year),CSE,150000,5 years,,,10+2 with Maths and Physics,2026-27
VISTAS (Vels Institute of Science Technology and Advanced Studies),B.Com General - Shift 1,Commerce,111000,3 years,,,10+2 any stream,2026-27
VISTAS (Vels Institute of Science Technology and Advanced Studies),B.Com General - Shift 2,Commerce,81000,3 years,,,10+2 any stream,2026-27
VISTAS (Vels Institute of Science Technology and Advanced Studies),B.Com Computer Applications,Commerce,99900,3 years,,,10+2 any stream,2026-27
VISTAS (Vels Institute of Science Technology and Advanced Studies),B.Com Corporate Secretaryship,Commerce,99900,3 years,,,10+2 any stream,2026-27
VISTAS (Vels Institute of Science Technology and Advanced Studies),B.Com Accounts & Finance,Commerce,99900,3 years,,,10+2 any stream,2026-27
VISTAS (Vels Institute of Science Technology and Advanced Studies),BBA,Management,99900,3 years,,,10+2 any stream,2026-27
VISTAS (Vels Institute of Science Technology and Advanced Studies),BBA Logistics and Shipping,Management,99900,3 years,,,10+2 any stream,2026-27
VISTAS (Vels Institute of Science Technology and Advanced Studies),BA Economics,Arts,69900,3 years,,,10+2 any stream,2026-27
VISTAS (Vels Institute of Science Technology and Advanced Studies),BBA Aviation Management,Management,211800,3 years,,,10+2 any stream,2026-27
VISTAS (Vels Institute of Science Technology and Advanced Studies),MBA (HR / Marketing / Finance / Systems / Production),Management,302000,2 years,,,Any UG Degree,2026-27
VISTAS (Vels Institute of Science Technology and Advanced Studies),MBA Shipping & Logistics Management (CII),Management,302000,2 years,,,Any UG Degree,2026-27
VISTAS (Vels Institute of Science Technology and Advanced Studies),MBA Logistics & Supply Chain Management (CII),Management,302000,2 years,,,Any UG Degree,2026-27
VISTAS (Vels Institute of Science Technology and Advanced Studies),MBA Fin Tech,Management,302000,2 years,,,Any UG Degree,2026-27
VISTAS (Vels Institute of Science Technology and Advanced Studies),MBA Business Analytics (IBM),Management,312000,2 years,,,Any UG Degree,2026-27
VISTAS (Vels Institute of Science Technology and Advanced Studies),MA Economics,Arts PG,79900,2 years,,,BA Economics,2026-27
VISTAS (Vels Institute of Science Technology and Advanced Studies),B.Sc Computer Science,Computer Science,115000,3 years,,,10+2 any stream,2026-27
VISTAS (Vels Institute of Science Technology and Advanced Studies),B.Sc CS with Cybersecurity,Computer Science,110000,3 years,,,10+2 any stream,2026-27
VISTAS (Vels Institute of Science Technology and Advanced Studies),B.Sc CS with AI & ML,Computer Science,110000,3 years,,,10+2 any stream,2026-27
VISTAS (Vels Institute of Science Technology and Advanced Studies),B.Sc CS with AI & Data Science,Computer Science,110000,3 years,,,10+2 any stream,2026-27
VISTAS (Vels Institute of Science Technology and Advanced Studies),B.Sc Information Technology,Computer Science,99900,3 years,,,10+2 any stream,2026-27
VISTAS (Vels Institute of Science Technology and Advanced Studies),BCA - Shift 1,Computer Applications,126000,3 years,,,10+2 any stream,2026-27
VISTAS (Vels Institute of Science Technology and Advanced Studies),BCA - Shift 2,Computer Applications,82000,3 years,,,10+2 any stream,2026-27
VISTAS (Vels Institute of Science Technology and Advanced Studies),BCA Data Science,Computer Applications,121000,3 years,,,10+2 any stream,2026-27
VISTAS (Vels Institute of Science Technology and Advanced Studies),BCA Cloud Computing,Computer Applications,159800,3 years,,,10+2 any stream,2026-27
VISTAS (Vels Institute of Science Technology and Advanced Studies),MCA - Shift 1,Computer Applications PG,155000,2 years,,,BCA / B.Sc CS / Any UG with Maths,2026-27
VISTAS (Vels Institute of Science Technology and Advanced Studies),MCA - Shift 2,Computer Applications PG,135000,2 years,,,BCA / B.Sc CS / Any UG with Maths,2026-27
VISTAS (Vels Institute of Science Technology and Advanced Studies),M.Sc Information Technology,Science PG,95000,2 years,,,B.Sc IT / BCA,2026-27
VISTAS (Vels Institute of Science Technology and Advanced Studies),M.Sc Computer Science,Science PG,95000,2 years,,,B.Sc CS / BCA,2026-27
VISTAS (Vels Institute of Science Technology and Advanced Studies),M.Sc Data Science and Business Analytics,Science PG,99900,2 years,,,Any UG with Maths/Stats,2026-27
VISTAS (Vels Institute of Science Technology and Advanced Studies),B.Sc Bio-Technology,Science,69000,3 years,,,10+2 with Science,2026-27
VISTAS (Vels Institute of Science Technology and Advanced Studies),B.Sc Micro-Biology,Science,69000,3 years,,,10+2 with Science,2026-27
VISTAS (Vels Institute of Science Technology and Advanced Studies),B.Sc Bio Chemistry,Science,69000,3 years,,,10+2 with Science,2026-27
VISTAS (Vels Institute of Science Technology and Advanced Studies),B.Sc Bioinformatics with AI & Data Science,Science,105000,3 years,,,10+2 with Science,2026-27
VISTAS (Vels Institute of Science Technology and Advanced Studies),M.Sc Bio-Technology,Science PG,95000,2 years,,,B.Sc Biotechnology,2026-27
VISTAS (Vels Institute of Science Technology and Advanced Studies),M.Sc Biochemistry,Science PG,95000,2 years,,,B.Sc Biochemistry,2026-27
VISTAS (Vels Institute of Science Technology and Advanced Studies),M.Sc Immunology & Microbiology,Science PG,95000,2 years,,,B.Sc Microbiology / related,2026-27
VISTAS (Vels Institute of Science Technology and Advanced Studies),M.Sc Bioinformatics with AI & Data Science,Science PG,95000,2 years,,,B.Sc Bioinformatics / related,2026-27
VISTAS (Vels Institute of Science Technology and Advanced Studies),B.Sc Chemistry with AI,Science,69000,3 years,,,10+2 with Science,2026-27
VISTAS (Vels Institute of Science Technology and Advanced Studies),M.Sc Chemistry,Science PG,95000,2 years,,,B.Sc Chemistry,2026-27
VISTAS (Vels Institute of Science Technology and Advanced Studies),B.Sc Visual Communication,Media,111000,3 years,,,10+2 any stream,2026-27
VISTAS (Vels Institute of Science Technology and Advanced Studies),B.Sc Animation,Media,111000,3 years,,,10+2 any stream,2026-27
VISTAS (Vels Institute of Science Technology and Advanced Studies),M.Sc Visual Communication,Media PG,112000,2 years,,,B.Sc Visual Communication / related,2026-27
VISTAS (Vels Institute of Science Technology and Advanced Studies),Diploma in Visual Communication,Media,88900,1 year,,,10+2 any stream,2026-27
VISTAS (Vels Institute of Science Technology and Advanced Studies),BA English,Arts,64000,3 years,,,10+2 any stream,2026-27
VISTAS (Vels Institute of Science Technology and Advanced Studies),MA English,Arts PG,72900,2 years,,,BA English,2026-27
VISTAS (Vels Institute of Science Technology and Advanced Studies),B.Sc Hotel and Catering Management,Hotel Management,99900,3 years,,,10+2 any stream,2026-27
VISTAS (Vels Institute of Science Technology and Advanced Studies),B.Sc Culinary Arts,Hotel Management,125000,3 years,,,10+2 any stream,2026-27
VISTAS (Vels Institute of Science Technology and Advanced Studies),M.Sc Hotel and Catering Management,Hotel Management PG,65000,2 years,,,B.Sc Hotel Management / related,2026-27
VISTAS (Vels Institute of Science Technology and Advanced Studies),Diploma in Hotel and Catering Management,Hotel Management,87000,1 year,,,10+2 any stream,2026-27
VISTAS (Vels Institute of Science Technology and Advanced Studies),B.Sc Aviation,Aviation,231800,3 years,,,10+2 any stream,2026-27
VISTAS (Vels Institute of Science Technology and Advanced Studies),B.Sc Aeronautical Science,Aviation,231800,3 years,,,10+2 any stream,2026-27
VISTAS (Vels Institute of Science Technology and Advanced Studies),BA Western Music,Arts,52900,3 years,,,10+2 any stream,2026-27
VISTAS (Vels Institute of Science Technology and Advanced Studies),MA Bharatanatyam,Arts PG,52900,2 years,,,Any UG Degree,2026-27
VISTAS (Vels Institute of Science Technology and Advanced Studies),Diploma in Western Music,Arts,24000,1 year,,,10+2 any stream,2026-27
VISTAS (Vels Institute of Science Technology and Advanced Studies),MA Astrology,Arts PG,45000,2 years,,,Any UG Degree,2026-27
VISTAS (Vels Institute of Science Technology and Advanced Studies),M.Sc in Yoga,Science PG,35000,2 years,,,Any UG Degree,2026-27
VISTAS (Vels Institute of Science Technology and Advanced Studies),B.Pharmacy,Pharmacy,205000,4 years,,,10+2 with Physics Chemistry Biology,2026-27
VISTAS (Vels Institute of Science Technology and Advanced Studies),Pharm-D (6 Years),Pharmacy,440000,6 years,,,10+2 with Physics Chemistry Biology,2026-27
VISTAS (Vels Institute of Science Technology and Advanced Studies),Pharm-D Post Baccalaureate (3 Years),Pharmacy,245000,3 years,,,B.Pharmacy,2026-27
VISTAS (Vels Institute of Science Technology and Advanced Studies),M.Pharmacy - Pharmaceutics,Pharmacy PG,190000,2 years,,,B.Pharmacy,2026-27
VISTAS (Vels Institute of Science Technology and Advanced Studies),M.Pharmacy - Pharmaceutical Analysis,Pharmacy PG,190000,2 years,,,B.Pharmacy,2026-27
VISTAS (Vels Institute of Science Technology and Advanced Studies),M.Pharmacy - Pharmacy Practice,Pharmacy PG,190000,2 years,,,B.Pharmacy,2026-27
VISTAS (Vels Institute of Science Technology and Advanced Studies),M.Pharmacy - Pharmacology,Pharmacy PG,190000,2 years,,,B.Pharmacy,2026-27
VISTAS (Vels Institute of Science Technology and Advanced Studies),BA LLB (Hons) - 5 Years,Law,225000,5 years,,,10+2 any stream,2026-27
VISTAS (Vels Institute of Science Technology and Advanced Studies),BBA LLB (Hons) - 5 Years,Law,195000,5 years,,,10+2 any stream,2026-27
VISTAS (Vels Institute of Science Technology and Advanced Studies),B.Com LLB (Hons) - 5 Years,Law,195000,5 years,,,10+2 any stream,2026-27
VISTAS (Vels Institute of Science Technology and Advanced Studies),LLB - 3 Years,Law,255000,3 years,,,Any UG Degree,2026-27
VISTAS (Vels Institute of Science Technology and Advanced Studies),LLM - 2 Years,Law PG,205000,2 years,,,LLB Degree,2026-27
VISTAS (Vels Institute of Science Technology and Advanced Studies),LLM - 1 Year,Law PG,215000,1 year,,,LLB Degree,2026-27
VISTAS (Vels Institute of Science Technology and Advanced Studies),BPT - 5 Years,Physiotherapy,119000,5 years,,,10+2 with Science,2026-27
VISTAS (Vels Institute of Science Technology and Advanced Studies),MPT (Various Specializations),Physiotherapy PG,249000,2 years,,,BPT,2026-27
VISTAS (Vels Institute of Science Technology and Advanced Studies),B.Tech CSE (TCS iON) - Category 1 (90%+ marks),CSE,224000,4 years,,Category 1: 90% & above,10+2 with Maths and Physics Min 60%,2026-27
VISTAS (Vels Institute of Science Technology and Advanced Studies),B.Tech CSE (TCS iON) - Category 2 (75-89% marks),CSE,274000,4 years,,Category 2: 75%-89%,10+2 with Maths and Physics Min 60%,2026-27
VISTAS (Vels Institute of Science Technology and Advanced Studies),B.Tech CSE (TCS iON) - Category 3 (Below 75% marks),CSE,299000,4 years,,Category 3: Below 75%,10+2 with Maths and Physics Min 60%,2026-27
VISTAS (Vels Institute of Science Technology and Advanced Studies),B.Tech CSE (AI/ML/AI&DS/Software Engg) - Category 1 (90%+),CSE,200000,4 years,,Category 1: 90% & above,10+2 with Maths and Physics Min 60%,2026-27
VISTAS (Vels Institute of Science Technology and Advanced Studies),B.Tech CSE (AI/ML/AI&DS/Software Engg) - Category 2 (75-89%),CSE,250000,4 years,,Category 2: 75%-89%,10+2 with Maths and Physics Min 60%,2026-27
VISTAS (Vels Institute of Science Technology and Advanced Studies),B.Tech CSE (AI/ML/AI&DS/Software Engg) - Category 3 (Below 75%),CSE,275000,4 years,,Category 3: Below 75%,10+2 with Maths and Physics Min 60%,2026-27
VISTAS (Vels Institute of Science Technology and Advanced Studies),B.Tech Electronics and Computer Engineering,ECE,125000,4 years,,,10+2 with Maths and Physics Min 60%,2026-27
VISTAS (Vels Institute of Science Technology and Advanced Studies),B.Tech Electrical and Electronics Engineering,Electrical Engineering,145000,4 years,,,10+2 with Maths and Physics Min 60%,2026-27
VISTAS (Vels Institute of Science Technology and Advanced Studies),B.Tech Mechanical Engineering,Mechanical Engineering,125000,4 years,,,10+2 with Maths and Physics Min 60%,2026-27
VISTAS (Vels Institute of Science Technology and Advanced Studies),B.Tech Electronics and Communication Engineering,ECE,185000,4 years,,,10+2 with Maths and Physics Min 60%,2026-27
VISTAS (Vels Institute of Science Technology and Advanced Studies),B.Tech Biotechnology,Biotechnology,165000,4 years,,,10+2 with Science Min 60%,2026-27
VISTAS (Vels Institute of Science Technology and Advanced Studies),B.Tech Biomedical Engineering,Biomedical Engineering,165000,4 years,,,10+2 with Science Min 60%,2026-27
VISTAS (Vels Institute of Science Technology and Advanced Studies),B.Tech IT with Mobile & Cloud (IBM),IT,250000,4 years,,,10+2 with Maths and Physics Min 60%,2026-27
VISTAS (Vels Institute of Science Technology and Advanced Studies),B.Tech Robotics and Artificial Intelligence,CSE,345800,4 years,,,10+2 with Maths and Physics Min 60%,2026-27
VISTAS (Vels Institute of Science Technology and Advanced Studies),B.Tech EEE (Working Professionals),Electrical Engineering,136000,4 years,,,Working Professional with Diploma/Degree,2026-27
VISTAS (Vels Institute of Science Technology and Advanced Studies),B.Tech Mechanical Engineering (Working Professionals),Mechanical Engineering,136000,4 years,,,Working Professional with Diploma/Degree,2026-27
VISTAS (Vels Institute of Science Technology and Advanced Studies),M.Tech CSE,Engineering PG,99900,2 years,,,B.Tech / BE in CSE/IT,2026-27
VISTAS (Vels Institute of Science Technology and Advanced Studies),M.Tech Construction Engineering & Management,Engineering PG,99900,2 years,,,B.Tech / BE in Civil,2026-27
VISTAS (Vels Institute of Science Technology and Advanced Studies),M.Tech Structural Engineering,Engineering PG,99900,2 years,,,B.Tech / BE in Civil,2026-27
VISTAS (Vels Institute of Science Technology and Advanced Studies),M.Tech Data Science,Engineering PG,149000,2 years,,,B.Tech / BE in relevant field,2026-27
VISTAS (Vels Institute of Science Technology and Advanced Studies),M.Tech Artificial Intelligence,Engineering PG,149000,2 years,,,B.Tech / BE in relevant field,2026-27
VISTAS (Vels Institute of Science Technology and Advanced Studies),B.Ed (2 Years),Education,85900,2 years,,,Any UG Degree,2026-27
VISTAS (Vels Institute of Science Technology and Advanced Studies),B.Sc B.Ed,Education,92800,4 years,,,10+2 any stream,2026-27
VISTAS (Vels Institute of Science Technology and Advanced Studies),BA B.Ed,Education,92800,4 years,,,10+2 any stream,2026-27
VISTAS (Vels Institute of Science Technology and Advanced Studies),B.Sc Operation Theatre and Anaesthesia Technology,Allied Health Sciences,179000,3 years,,,10+2 with Science,2026-27
VISTAS (Vels Institute of Science Technology and Advanced Studies),B.Sc Cardiac Care Technology,Allied Health Sciences,179000,3 years,,,10+2 with Science,2026-27
VISTAS (Vels Institute of Science Technology and Advanced Studies),B.Sc Radiography and Imaging Technology,Allied Health Sciences,169000,3 years,,,10+2 with Science,2026-27
VISTAS (Vels Institute of Science Technology and Advanced Studies),B.Sc Physician Assistant,Allied Health Sciences,149000,3 years,,,10+2 with Science,2026-27
VISTAS (Vels Institute of Science Technology and Advanced Studies),B.Sc Biomedical Sciences,Allied Health Sciences,110000,3 years,,,10+2 with Science,2026-27
VISTAS (Vels Institute of Science Technology and Advanced Studies),M.Sc Clinical Embryology,Allied Health Sciences PG,340000,2 years,,,B.Sc Life Sciences / related,2026-27
VISTAS - Thiruvanmiyur Campus,B.Com General (Integrated CA Program),Commerce,122000,3 years,,,10+2 any stream,2026-27
VISTAS - Thiruvanmiyur Campus,B.Com Computer Applications,Commerce,110000,3 years,,,10+2 any stream,2026-27
VISTAS - Thiruvanmiyur Campus,BBA Digital Marketing,Management,122000,3 years,,,10+2 any stream,2026-27
VISTAS - Thiruvanmiyur Campus,MBA (HR / Marketing / Finance / Systems / Production),Management,297000,2 years,,,Any UG Degree,2026-27
VISTAS - Thiruvanmiyur Campus,MBA Digital Marketing,Management,297000,2 years,,,Any UG Degree,2026-27
VISTAS - Thiruvanmiyur Campus,B.Sc Computer Science,Computer Science,127000,3 years,,,10+2 any stream,2026-27
VISTAS - Thiruvanmiyur Campus,B.Sc CS with Cybersecurity,Computer Science,121000,3 years,,,10+2 any stream,2026-27
VISTAS - Thiruvanmiyur Campus,B.Sc CS with AI & ML,Computer Science,121000,3 years,,,10+2 any stream,2026-27
VISTAS - Thiruvanmiyur Campus,B.Sc CS with AI & Data Science,Computer Science,121000,3 years,,,10+2 any stream,2026-27
VISTAS - Thiruvanmiyur Campus,BCA Data Science,Computer Applications,133000,3 years,,,10+2 any stream,2026-27
VISTAS - Thiruvanmiyur Campus,MCA,Computer Applications PG,171000,2 years,,,BCA / B.Sc CS / Any UG with Maths,2026-27
VISTAS - Thiruvanmiyur Campus,M.Sc Data Science and Business Analytics,Science PG,110000,2 years,,,Any UG with Maths/Stats,2026-27
VISTAS - Thiruvanmiyur Campus,B.Sc Aviation,Aviation,231800,3 years,,,10+2 any stream,2026-27
VISTAS - Thiruvanmiyur Campus,B.Sc Aeronautical Science,Aviation,231800,3 years,,,10+2 any stream,2026-27
VISTAS - Thiruvanmiyur Campus,BBA Aviation Management,Management,211800,3 years,,,10+2 any stream,2026-27
VISTAS - Thiruvanmiyur Campus,MBA Aviation & Airport Management,Management,395800,2 years,,,Any UG Degree,2026-27
Jeppiaar University,B.Tech Computer Science and Engineering,CSE,275000,4 years,180,,10+2 with Maths and Physics,2026-27
Jeppiaar University,B.Tech CSE (AI & Data Science),CSE,275000,4 years,180,,10+2 with Maths and Physics,2026-27
Jeppiaar University,B.Tech CSE (AI & Machine Learning),CSE,275000,4 years,180,,10+2 with Maths and Physics,2026-27
Jeppiaar University,B.Tech CSE (Cyber Security),CSE,275000,4 years,180,,10+2 with Maths and Physics,2026-27
Jeppiaar University,B.Tech IT,IT,250000,4 years,180,,10+2 with Maths and Physics,2026-27
Jeppiaar University,B.Tech Electronics and Communication Engineering,ECE,225000,4 years,120,,10+2 with Maths and Physics,2026-27
Jeppiaar University,B.Tech Biotechnology / EEE / Mechanical / Aerospace,Engineering,185000,4 years,60,,10+2 with Maths and Physics / Science,2026-27
Jeppiaar University,B.Com General,Commerce,130000,3 years,60,,10+2 any stream,2026-27
Jeppiaar University,B.Sc Biotechnology,Science,130000,3 years,60,,10+2 with Science,2026-27
Jeppiaar University,B.Sc Forensic Science,Science,130000,3 years,60,,10+2 with Science,2026-27
Jeppiaar University,B.Sc Computer Science (AI),Computer Science,130000,3 years,60,,10+2 any stream,2026-27
Jeppiaar University,B.Sc Computer Science,Computer Science,130000,3 years,60,,10+2 any stream,2026-27
Jeppiaar University,BCA (Bachelor of Computer Applications),Computer Applications,150000,3 years,60,,10+2 any stream,2026-27
Jeppiaar University,BBA General / Financial Technology,Management,130000,3 years,60,,10+2 any stream,2026-27
Jeppiaar University,B.Sc Aviation,Aviation,160000,3 years,60,,10+2 any stream,2026-27
Jeppiaar University,BBA Airline & Airport Management,Management,160000,3 years,60,,10+2 any stream,2026-27
Jeppiaar University,BBA Shipping & Logistics Management,Management,160000,3 years,60,,10+2 any stream,2026-27
Jeppiaar University,MBA Shipping & Logistics Management,Management,150000,2 years,60,,Any UG Degree,2026-27
Jeppiaar University,MBA Airline & Airport Management,Management,150000,2 years,60,,Any UG Degree,2026-27
Jeppiaar University,MBA,Management,150000,2 years,60,,Any UG Degree,2026-27
Jeppiaar University,M.Tech Computer Science and Engineering,Engineering PG,60000,2 years,30,,B.Tech / BE in CSE/IT,2026-27
Jeppiaar University,M.Tech Software Engineering,Engineering PG,60000,2 years,30,,B.Tech / BE in CSE/IT,2026-27
Jeppiaar University,M.Tech VLSI Design,Engineering PG,60000,2 years,30,,B.Tech / BE in ECE/EEE,2026-27
Jeppiaar University,M.Tech Biotechnology,Engineering PG,60000,2 years,30,,B.Tech / BE in Biotech/related,2026-27
Jeppiaar University,MCA,Computer Applications PG,125000,2 years,60,,BCA / B.Sc CS / Any UG with Maths,2026-27
